FECHA,LOCAL,Goles_Local,Goles_Visitante,VISITANTE,RTC
31/01/2018,México,1,1,Bosnia,E
26/02/2018,Arabia Saudita,3,0,Moldavia,L
28/02/2018,Iraq,4,1,Arabia Saudita,L
22/03/2018,China,0,6,Gales,V
23/03/2018,Italia,0,2,Argentina,V
23/03/2018,Arabia Saudita,1,1,Ucrania,E
23/03/2018,México,3,1,Islandia,L
23/03/2018,Polonia,0,1,Nigeria,V
23/03/2018,Rusia,0,3,Brasil,V
26/03/2018,Gales,0,1,Uruguay,V
27/03/2018,España,6,1,Argentina,L
27/03/2018,Bélgica,4,0,Arabia Saudita,L
27/03/2018,México,0,0,Croacia,E
27/03/2018,Polonia,3,2,Corea del Sur,L
27/03/2018,Alemania,0,1,Brasil,V
09/05/2018,Arabia Saudita,2,0,Argelia,L
15/05/2018,Arabia Saudita,2,0,Grecia,L
28/05/2018,Italia,2,1,Arabia Saudita,L
28/05/2018,México,0,3,Gales,V
29/05/2018,Argentina,4,0,Haití,L
02/06/2018,México,1,0,Escocia,L
03/06/2018,Arabia Saudita,0,3,Perú,V
03/06/2018,Brasil,2,0,Croacia,L
08/06/2018,Alemania,2,1,Arabia Saudita,L
08/06/2018,Polonia,2,2,Chile,E
09/06/2018,Gales,4,1,Irlanda,L
09/06/2018,Dinamarca,2,0,México,L
10/06/2018,Austria,0,3,Brasil,V
12/06/2018,Lituania,4,0,Polonia,L
14/06/2018,Rusia,5,0,Arabia Saudita,L
16/06/2018,Argentina,1,1,Islandia,E
17/06/2018,Alemania,0,1,México,V
17/06/2018,Brasil,1,1,Suiza,E
19/06/2018,Polonia,1,2,Senegal,V
20/06/2018,Uruguay,1,0,Arabia Saudita,L
21/06/2018,Argentina,0,3,Croacia,V
22/06/2018,Brasil,2,0,Costa Rica,L
23/06/2018,Corea del Sur,1,2,México,V
24/06/2018,Polonia,0,3,Colombia,V
25/06/2018,Arabia Saudita,2,1,Egipto,L
26/06/2018,Nigeria,1,2,Argentina,V
27/06/2018,México,0,3,Suecia,V
27/06/2018,Serbia,0,2,Brasil,V
28/06/2018,Japón,0,1,Polonia,V
30/06/2018,Francia,4,3,Argentina,L
02/07/2018,Brasil,0,2,México,V
02/07/2018,Brasil,2,0,México,L
06/07/2018,Brasil,1,2,Bélgica,V
09/08/2018,Inglaterra,1,2,España,V
09/08/2018,Suiza,6,0,Islandia,L
05/09/2018,Dinamarca,3,0,Slovakia,L
06/09/2018,Países Bajos,2,1,Perú,L
06/09/2018,Alemania,0,0,Francia,E
06/09/2018,Barbados,1,4,Canadá,V
07/09/2018,Ecuador,2,0,Jamaica,L
07/09/2018,Qatar,1,0,RP China,L
07/09/2018,Argentina,3,0,Guatemala,L
07/09/2018,México,1,4,Uruguay,V
07/09/2018,Italia,1,1,Polonia,E
07/09/2018,Corea del Sur,2,0,Costa Rica,L
07/09/2018,Alemania,0,0,Francia,E
07/09/2018,Japón,3,2,Turkmenistan,L
07/09/2018,Marruecos,3,0,Malaui,L
07/09/2018,Croacia,1,0,Rusia,L
07/09/2018,Estados Unidos,0,2,Brasil,V
07/09/2018,Lituania,0,1,Serbia,V
07/09/2018,Corea del Sur,2,0,Costa Rica,L
07/09/2018,México,1,4,Uruguay,V
07/09/2018,Portugal,1,1,Croacia,E
08/09/2018,Inglaterra,1,2,España,V
08/09/2018,Comoros,1,1,Camerún,E
09/09/2018,Madagascar,2,2,Senegal,E
09/09/2018,Francia,2,1,Países Bajos,L
09/09/2018,Dinamarca,2,0,Gales,L
09/09/2018,Francia,2,1,Países Bajos,L
09/09/2018,Dinamarca,2,0,Gales,L
09/09/2018,Marruecos,2,1,Sudáfrica,L
09/09/2018,Islandia,1,0,Canadá,L
10/09/2018,Japón,3,0,Costa Rica,L
10/09/2018,Alemania,2,1, Perú,L
10/09/2018,Oman,0,1,Japón,V
10/09/2018,Serbia,2,2,Rumanía,E
11/09/2018,Ecuador,2,0,Guatemala,L
11/09/2018,Qatar,3,0,Palestina,L
11/09/2018,Colombia,0,0,Argentina,E
11/09/2018,Estados Unidos,1,0,México,L
11/09/2018,Polonia,1,1,Irlanda,E
11/09/2018,España,6,0,Croacia,L
11/09/2018,Marruecos,1,0,Comoras,L
11/09/2018,Croacia,1,1,Eslovenia,E
11/09/2018,Brasil,5,0,El Salvador,L
11/09/2018,Corea del Sur,0,0,Chile,E
11/10/2018,Iraq,0,4,Argentina,V
11/10/2018,México,3,2,Costa Rica,L
11/10/2018,Polonia,2,3,Portugal,V
11/10/2018,Francia,2,2,Islandia,E
11/10/2018,Gales,1,4,España,V
11/10/2018,México,3,2,Costa Rica,L
11/10/2018,Países Bajos,3,0,Alemania,L
11/10/2018,Japón,2,1,Uzbekistan,L
11/10/2018,Montenegro,0,2,Serbia,V
12/10/2018,Qatar,4,3,Ecuador,L
12/10/2018,Qatar,4,3,Ecuador,L
12/10/2018,Arabia Saudita,0,2,Brasil,V
12/10/2018,Comoras,2,2,Marruecos,E
12/10/2018,Croacia,2,1,Bulgaria,L
12/10/2018,Camerún,1,0,Malawi,L
12/10/2018,Arabia Saudita,0,2,Brasil,V
12/10/2018,Corea del Sur,2,1,Uruguay,L
12/10/2018,Corea del Sur,2,1,Uruguay,L
12/10/2018,Portugal,1,0, Italia,L
13/10/2018,Senegal,3,0,Sudán,L
13/10/2018,Países Bajos,3,0,Alemania,L
13/10/2018,Rep. of Ireland,0,0,Dinamarca,E
13/10/2018,Liberia,0,2,Marruecos,V
13/10/2018,Canadá,5,1,Bermudas,L
14/10/2018,Polonia,0,1,Italia,V
14/10/2018,Rumanía,0,0,Serbia,E
15/10/2018,España,2,3,Inglaterra,V
15/10/2018,Arabia Saudita,1,1,Iraq,E
15/10/2018,Kuwait,0,4,Australia,V
15/10/2018,España,2,3,Inglaterra,V
15/10/2018,Islandia,1,2,Suiza,V
16/10/2018,Omán,0,0,Ecuador,E
16/10/2018,Sudán,0,1,Senegal,V
16/10/2018,Uzbekistán,2,0,Qatar,L
16/10/2018,Bélgica,1,1,Países Bajos,E
16/10/2018,Irlanda,0,1,Gales,V
16/10/2018,Argentina,0,1,Brasil,V
16/10/2018,México,0,1,Chile,V
16/10/2018,Francia,2,1,Alemania,L
16/10/2018,Dinamarca,2,0,Austria,L
16/10/2018,Colombia,3,1,Costa Rica,L
16/10/2018,Francia,2,1,Alemania,L
16/10/2018,Japón,1,0,Arabia Saudita,L
16/10/2018,Marruecos,2,0,Camerún,L
16/10/2018,Marruecos,2,0,Chile,L
16/10/2018,Croacia,0,3,Austria,V
16/10/2018,Islas Caimán,0,11,Canadá,V
16/10/2018,Malawi,0,0,Camerún,E
16/10/2018,Argentina,0,1,Brasil,V
16/10/2018,Corea del Sur,2,2,Panamá,E
16/10/2018,Japón,4,3,Uruguay,L
16/10/2018,Polonia,2,3,Portugal,V
09/11/2018,Inglaterra,1,0,Suiza,L
09/11/2018,Inglaterra,1,0,Suiza,L
14/11/2018,Suiza,0,1,Qatar,V
14/11/2018,Croacia,1,1,Francia,E
14/11/2018,Suiza,0,1,Qatar,V
15/11/2018,Perú,0,2,Ecuador,V
15/11/2018,Inglaterra,3,0,Estados Unidos,L
15/11/2018,Polonia,0,1,República Checa,V
15/11/2018,Croacia,3,2,España,L
15/11/2018, Chile,2,3,Costa Rica,V
15/11/2018,Alemania,3,0, Rusia,L
15/11/2018,Vietnam,0,1,Japón,V
15/11/2018,Malaui,0,0,Marruecos,E
16/11/2018,Países Bajos,2,0,Francia,L
16/11/2018,Gales,1,2,Dinamarca,V
16/11/2018,Argentina,2,0,México,L
16/11/2018,Arabia Saudita,1,0,Yemen,L
16/11/2018,Argentina,2,0,México,L
16/11/2018,Países Bajos,2,0,Francia,L
16/11/2018,Gales,1,2,Dinamarca,V
16/11/2018,Aruba,0,7,Canadá,V
16/11/2018,Marruecos,2,0,Camerún,L
16/11/2018,Brasil,1,0,Uruguay,L
16/11/2018,Brasil,1,0,Uruguay,L
16/11/2018, Escocia,1,3,Portugal,V
17/11/2018,Guinea Ecuatorial,0,1,Senegal,V
17/11/2018,Australia,1,1,Corea del Sur,E
17/11/2018,Paraguay,0,0,Marruecos,E
17/11/2018,Serbia,2,1,Montenegro,L
17/11/2018,Australia,1,1,Corea del Sur,E
18/11/2018,Inglaterra,2,1,Croacia,L
18/11/2018,España,1,0,Bosnia y Herzegovina,L
18/11/2018,Suiza,5,2,Bélgica,L
