FECHA,LOCAL,Goles_Local,Goles_Visitante,VISITANTE,RTC
05/03/2014,Inglaterra,1,0,Dinamarca,L
22/05/2014,Hungría,2,2,Dinamarca,E
28/05/2014,Dinamarca,1,0,Suecia,L
30/05/2014,Inglaterra,3,0,Perú,L
03/06/2014,Suiza,2,0,Perú,L
06/08/2014,Perú,3,0,Panamá,L
06/08/2014,Perú,3,0,Panamá,L
20/08/2014,Panamá,4,0,Cuba,L
30/08/2014,Egipto,1,0,Kenia,L
03/09/2014,Rusia,4,0,Azerbaiyán,L
03/09/2014,Dinamarca,1,2,Turquía,V
03/09/2014,Alemania,2,4,Argentina,V
03/09/2014,Costa Rica,3,0,Nicaragua,L
03/09/2014,Alemania,2,4,Argentina,V
03/09/2014,Inglaterra,1,0,Noruega,L
04/09/2014,Francia,1,0,España,L
04/09/2014,Francia,1,0,España,L
04/09/2014,Bélgica,2,0,Australia,L
04/09/2014,Iraq,0,2,Perú,V
04/09/2014,Croacia,2,0,Chipre,L
04/09/2014,Suecia,2,0,Estonia,L
04/09/2014,Bélgica,2,0,Australia,L
05/09/2014,Japón,0,2,Uruguay,V
05/09/2014,Senegal,2,0,Egipto,L
05/09/2014,Colombia,0,1,Brasil,V
05/09/2014,Corea del Sur,3,1,Venezuela,L
05/09/2014,Senegal,2,0,Egipto,L
05/09/2014,Brasil,1,0,Colombia,L
06/09/2014,Nigeria,2,3,Congo,V
06/09/2014,México,0,0,Chile,E
06/09/2014,Túnez,2,1,Botsuana,L
07/09/2014,Portugal,0,1,Albania,V
07/09/2014,Serbia,1,1,Francia,E
07/09/2014,Dinamarca,2,1,Armenia,L
07/09/2014,Serbia,1,1,Francia,E
07/09/2014,Alemania,2,1,Escocia,L
07/09/2014,Costa Rica,2,2,Panamá,E
07/09/2014,Gibraltar,0,7,Polonia,V
08/09/2014,Corea del Sur,0,1,Uruguay,V
08/09/2014,Arabia Saudita,2,3,Australia,V
08/09/2014,Rusia,4,0,Liechtenstein,L
08/09/2014,España,5,1,Macedonia del Norte,L
08/09/2014,Arabia Saudita,2,3,Australia,V
08/09/2014,Brasil,1,0,Ecuador,L
08/09/2014,Suiza,0,2,Inglaterra,V
08/09/2014,Corea del Sur,0,1,Uruguay,V
08/09/2014,Austria,1,1,Suecia,E
08/09/2014,Suiza,0,2,Inglaterra,V
09/09/2014,Qatar,0,2,Perú,V
09/09/2014,Croacia,2,0,Malta,L
09/09/2014,Islandia,3,0,Turquía,L
09/09/2014,México,1,0,Bolivia,L
09/09/2014,Japón,3,0,Venezuela,L
10/09/2014,Egipto,0,1,Túnez,V
10/09/2014,Sudáfrica,0,0,Nigeria,E
10/09/2014,Costa Rica,2,2,Panamá,E
10/09/2014,Panamá,2,0,Nicaragua,L
10/09/2014,Egipto,0,1,Túnez,V
10/09/2014,Botsuana,0,2,Senegal,V
13/09/2014,Costa Rica,2,1,Guatemala,L
13/09/2014,El Salvador,0,1,Panamá,V
09/10/2014,Suecia,1,1,Rusia,E
09/10/2014,Eslovaquia,2,1,España,L
09/10/2014,Eslovenia,1,0,Suiza,L
09/10/2014,México,2,0,Honduras,L
09/10/2014,Suecia,1,1,Rusia,E
09/10/2014,Inglaterra,5,0,San Marino,L
10/10/2014,Arabia Saudita,1,1,Uruguay,E
10/10/2014,Arabia Saudita,1,1,Uruguay,E
10/10/2014,Botsuana,0,2,Egipto,V
10/10/2014,EAU,0,0,Australia,E
10/10/2014,Chile,3,0,Perú,L
10/10/2014,Bulgaria,6,1,Croacia,L
10/10/2014,Letonia,0,3,Islandia,V
10/10/2014, Omán,3,4,Costa Rica,V
10/10/2014,Corea del Sur,2,0,Paraguay,L
10/10/2014,Bélgica,6,0,Andorra,L
10/10/2014,Senegal,0,0,Túnez,E
10/10/2014,Senegal,0,0,Túnez,E
10/10/2014,Colombia,3,0,El Salvador,L
10/10/2014,Japón,1,0,Jamaica,L
11/10/2014,Francia,2,1,Portugal,L
11/10/2014,Francia,2,1,Portugal,L
11/10/2014,Albania,1,1,Dinamarca,E
11/10/2014,Brasil,2,0,Argentina,L
11/10/2014,Sudán,1,0,Nigeria,L
11/10/2014,Brasil,2,0,Argentina,L
11/10/2014,Armenia,1,1,Serbia,E
11/10/2014,Polonia,2,0,Alemania,L
11/10/2014,Polonia,2,0,Alemania,L
12/10/2014,Rusia,1,1,Moldavia,E
12/10/2014,Luxemburgo,0,4,España,V
12/10/2014,México,1,0,Panamá,L
12/10/2014,Suecia,2,0,Liechtenstein,L
12/10/2014,México,1,0,Panamá,L
12/10/2014,Estonia,0,1,Inglaterra,V
13/10/2014,Omán,0,3,Uruguay,V
13/10/2014,Croacia,6,0,Azerbaiyán,L
13/10/2014,Islandia,2,0,Países Bajos,L
13/10/2014,Bosnia y Herzegovina,1,1,Bélgica,E
14/10/2014,Arabia Saudita,1,1,Líbano,E
14/10/2014,Dinamarca,0,1,Portugal,V
14/10/2014,Armenia,0,3,Francia,V
14/10/2014,Dinamarca,0,1,Portugal,V
14/10/2014,Qatar,1,0,Australia,L
14/10/2014,Perú,1,0,Guatemala,L
14/10/2014,Hong Kong,0,7,Argentina,V
14/10/2014,Japón,0,4,Brasil,V
14/10/2014,Corea del Sur,1,3,Costa Rica,V
14/10/2014,Serbia,0,3,Albania,V
14/10/2014,San Marino,0,4,Suiza,V
14/10/2014,Alemania,1,1,Irlanda,E
14/10/2014,Corea del Sur,1,3,Costa Rica,V
14/10/2014,Polonia,2,2,Escocia,E
